id,question,choice1,choice2,choice3,choice4,correct_answer_index,explanation
401,"The mission was ___ successfully by Sakamoto's team.",completed,complete,completing,completion,1,"受動態。任務は坂本のチームによって成功裏に完了されました。"
402,"A: Should we call for backup? B: ___",Yes, we do.,No, we don't.,I think so.,I think not.,3,"提案への返答。「そう思います」が自然です。"
403,"The person ___ taught Sakamoto martial arts was his grandfather.",who,which,what,where,1,"関係代名詞。人を先行詞とするときはwhoを使います。"
404,"I enjoy ___ coffee with Shin at the cafe.",drinking,to drink,drink,drank,1,"動名詞。enjoyの後は動名詞を使います。"
405,"If I had more time, I ___ help you with the assignment.",would,will,can,could,1,"仮定法。If I had...なので、wouldを使います。"
406,"A: Could you show me the way? B: ___",Yes, I do.,No problem!,I like it.,That's nice.,2,"依頼への返答。「問題ありません」が適切です。"
407,"The book ___ Sakamoto is reading looks interesting.",that,what,who,where,1,"関係代名詞。物を先行詞とするときはthatを使います。"
408,"She suggested ___ the meeting to next week.",postponing,to postpone,postpone,postponed,1,"動名詞。suggestの後は動名詞を使います。"
409,"This letter was ___ by Sakamoto yesterday.",written,wrote,writing,write,1,"受動態の過去分詞。writeの過去分詞はwrittenです。"
410,"A: What do you think about the plan? B: ___",I think it's great.,Yes, I do.,No, I don't.,That's right.,1,"意見を求められた時の返答。具体的な意見を述べます。"
411,"The cafe ___ we often visit is closed today.",where,which,who,when,1,"関係副詞。場所を示すときはwhereを使います。"
412,"I'm looking forward to ___ you again.",seeing,see,saw,seen,1,"動名詞。look forward toの後は動名詞を使います。"
413,"The window was ___ by the strong wind.",broken,broke,breaking,break,1,"受動態の過去分詞。breakの過去分詞はbrokenです。"
414,"A: Shall we start the meeting? B: ___",Yes, let's.,Yes, we do.,No, we don't.,I like it.,1,"提案への同意。「はい、そうしましょう」が適切です。"
415,"The day ___ we first met was rainy.",when,where,which,who,1,"関係副詞。時を表すときはwhenを使います。"
416,"She's interested in ___ languages.",learning,to learn,learn,learned,1,"動名詞。be interested inの後は動名詞を使います。"
417,"These cookies were ___ by Aoi this morning.",made,make,making,makes,1,"受動態の過去分詞。makeの過去分詞はmadeです。"
418,"A: How was your weekend? B: ___",It was wonderful!,Yes, it was.,No, it wasn't.,I think so.,1,"感想を聞かれた時の返答。具体的な感想を述べます。"
419,"The reason ___ he left early is unclear.",why,where,which,who,1,"関係副詞。理由を示すときはwhyを使います。"
420,"I practice ___ the piano every day.",playing,to play,play,played,1,"動名詞。practiceの後は動名詞を使います。"
421,"The car was ___ in the parking lot.",parked,park,parking,parks,1,"受動態の過去分詞。parkの過去分詞はparkedです。"
422,"A: Would you like some tea? B: ___",Yes, please.,Yes, I do.,No, I don't.,That's nice.,1,"申し出への返答。「はい、お願いします」が丁寧です。"
423,"The student ___ won the prize is very smart.",who,which,what,where,1,"関係代名詞。人を先行詞とするときはwhoを使います。"
424,"She avoided ___ about the secret mission.",talking,to talk,talk,talked,1,"動名詞。avoidの後は動名詞を使います。"
425,"The message was ___ to all team members.",sent,send,sending,sends,1,"受動態の過去分詞。sendの過去分詞はsentです。"
426,"A: Can I borrow your pen? B: ___",Of course!,Yes, I can.,No, I can't.,I like it.,1,"許可を求められた時の返答。「もちろん」が適切です。"
427,"The movie ___ we watched last night was exciting.",that,what,who,where,1,"関係代名詞。物を先行詞とするときはthatを使います。"
428,"He's good at ___ English.",speaking,to speak,speak,spoke,1,"動名詞。be good atの後は動名詞を使います。"
429,"The door was ___ by Sakamoto.",opened,open,opening,opens,1,"受動態の過去分詞。openの過去分詞はopenedです。"
430,"A: What's your favorite food? B: ___",I love sushi.,Yes, I do.,No, I don't.,That's right.,1,"好みを聞かれた時の返答。具体的な答えを述べます。"
431,"The place ___ Shin works is near the station.",where,which,who,when,1,"関係副詞。場所を示すときはwhereを使います。"
432,"She finished ___ her homework before dinner.",doing,to do,do,did,1,"動名詞。finishの後は動名詞を使います。"
433,"The cake was ___ by the whole family.",enjoyed,enjoy,enjoying,enjoys,1,"受動態の過去分詞。enjoyの過去分詞はenjoyedです。"
