id,question,choice1,choice2,choice3,choice4,correct_answer_index,explanation
201,"Aoi has ___ studying English for three years.",been,be,being,was,1,"現在完了進行形。「has been + 動詞ing」でずっと続けている動作を表します。"
202,"This book is ___ interesting than that one.",more,most,much,very,1,"比較級。「more + 形容詞」で2つのものを比較します。"
203,"If it rains tomorrow, we ___ inside.",will stay,stay,stayed,staying,1,"条件文。「if + 現在形, will + 動詞原形」の形です。"
204,"Sakamoto wants ___ his shooting skills.",to improve,improving,improve,improved,1,"不定詞。「want to + 動詞原形」で「～したい」を表します。"
205,"Lu has ___ finished her homework.",already,yet,never,still,1,"現在完了の副詞。「already」は肯定文で「もうすでに」を表します。"
206,"Heisuke is ___ student in his class.",the smartest,smarter,smart,most smart,1,"最上級。「the + 形容詞est」で「最も～」を表します。"
207,"Shin ___ to Tokyo many times.",has been,have been,was,were,1,"現在完了の経験。「has been」は三人称単数の現在完了形です。"
208,"The weather today is ___ than yesterday.",worse,worst,bad,badly,1,"比較級。「bad」の比較級は「worse」です。"
209,"Aoi decided ___ a new language this year.",to learn,learning,learn,learned,1,"不定詞。「decide to + 動詞原形」で「～することを決める」。"
210,"I ___ never seen such a beautiful sunset.",have,has,had,was,1,"現在完了の経験。「I」には「have」を使います。"
211,"Sakamoto's apartment is ___ than Shin's.",larger,largest,large,more large,1,"比較級。1音節の形容詞は「-er」をつけます。"
212,"She ___ her keys somewhere in the house.",has lost,have lost,lost,losing,1,"現在完了の完了。「has lost」は三人称単数の現在完了形。"
213,"If you study hard, you ___ pass the test.",will,would,can,might,1,"条件文の帰結部。「if + 現在形, will + 動詞原形」。"
214,"Lu hopes ___ her family next month.",to visit,visiting,visit,visited,1,"不定詞。「hope to + 動詞原形」で「～することを望む」。"
215,"This is ___ movie I've ever watched.",the best,best,better,good,1,"最上級。「the best」は「good」の最上級形。"
216,"Heisuke has ___ played baseball before.",never,ever,already,yet,1,"現在完了の経験。「never」は「一度も～ない」を表します。"
217,"The coffee is ___ hot to drink right now.",too,very,so,quite,1,"「too + 形容詞 + to + 動詞原形」で「～すぎて…できない」。"
218,"Aoi ___ lived in this city since she was born.",has,have,had,was,1,"現在完了の継続。「since」があるので現在完了を使います。"
219,"Sakamoto feels ___ after his morning exercise.",energetic,energy,energize,energetically,1,"形容詞。「feel」の後には形容詞が来ます。"
220,"If I ___ free time, I would travel more.",had,have,has,having,1,"仮定法過去。「if + 過去形, would + 動詞原形」。"
221,"Shin has ___ eating lunch at that restaurant.",stopped,stop,stopping,stops,1,"現在完了。「has stopped」は動作の完了を表します。"
222,"This problem is ___ difficult than I expected.",more,most,much,very,1,"比較級。2音節以上の形容詞は「more + 形容詞」。"
223,"Lu wants ___ cooking skills this summer.",to practice,practicing,practice,practiced,1,"不定詞。「want to + 動詞原形」の形。"
224,"The museum has ___ closed for renovation.",been,be,being,was,1,"現在完了の受動態。「has been + 過去分詞」。"
225,"Heisuke is ___ person I know.",the kindest,kinder,kind,most kind,1,"最上級。「the + 形容詞est」の形。"
226,"If you ___ early, you won't be late.",leave,left,leaving,leaves,1,"条件文。「if + 現在形」の部分。"
227,"Aoi has ___ started her new job.",just,yet,never,still,1,"現在完了の副詞。「just」は「ちょうど～したところ」。"
228,"This bag is ___ than that one.",heavier,heaviest,heavy,more heavy,1,"比較級。「heavy」の比較級は「heavier」。"
229,"Sakamoto decided ___ a new hobby.",to try,trying,try,tried,1,"不定詞。「decide to + 動詞原形」。"
230,"I ___ finished reading this novel yet.",haven't,hasn't,didn't,don't,1,"現在完了の否定。「yet」があるので現在完了の否定形。"
231,"The train is ___ crowded during rush hour.",extremely,extreme,extremes,extremely,1,"副詞。形容詞を修飾するので副詞「extremely」。"
232,"Lu has ___ to visit her grandmother.",promised,promise,promising,promises,1,"現在完了。「has promised」は約束の完了。"
233,"If it ___ sunny, we'll go to the beach.",is,was,will be,would be,1,"条件文。「if + 現在形」の部分。"
234,"Heisuke wants ___ his English pronunciation.",to improve,improving,improve,improved,1,"不定詞。「want to + 動詞原形」。"
235,"This is ___ restaurant in the neighborhood.",the most popular,more popular,popular,most popular,1,"最上級。「the most + 形容詞」の形。"
236,"Shin has ___ been to Australia.",never,ever,already,yet,1,"現在完了の経験。「never」は否定の意味。"
237,"The water is ___ cold to swim in.",too,very,so,quite,1,"「too + 形容詞 + to + 動詞原形」。"
238,"Aoi ___ working here for five years.",has been,have been,was,were,1,"現在完了進行形。継続している状態。"
239,"Sakamoto feels ___ about his performance.",confident,confidence,confidently,confide,1,"形容詞。「feel」の後には形容詞。"
240,"If I ___ you, I would accept the offer.",were,was,am,are,1,"仮定法過去。「if I were you」は慣用表現。"
241,"Lu has ___ her apartment recently.",decorated,decorate,decorating,decorates,1,"現在完了。「recently」があるので現在完了。"
242,"This exercise is ___ than the previous one.",easier,easiest,easy,more easy,1,"比較級。「easy」の比較級は「easier」。"
243,"Heisuke hopes ___ his dream job someday.",to find,finding,find,found,1,"不定詞。「hope to + 動詞原形」。"
244,"The library has ___ open since 8 AM.",been,be,being,was,1,"現在完了。「since」があるので現在完了の継続。"
245,"Shin is ___ runner in the track team.",the fastest,faster,fast,most fast,1,"最上級。「fast」の最上級は「the fastest」。"
246,"If you ___ harder, you'll succeed.",work,worked,working,works,1,"条件文。「if + 現在形」の部分。"
247,"Aoi has ___ completed her project.",successfully,success,succeed,successful,1,"副詞。動詞を修飾するので副詞「successfully」。"
248,"This movie is ___ boring than I thought.",more,most,much,very,1,"比較級。2音節以上の形容詞は「more + 形容詞」。"
249,"Sakamoto wants ___ his cooking skills.",to develop,developing,develop,developed,1,"不定詞。「want to + 動詞原形」。"
250,"I ___ eaten at that restaurant before.",have,has,had,was,1,"現在完了の経験。「I」には「have」を使用。"
251,"The weather is ___ pleasant today.",remarkably,remarkable,remark,remarkably,1,"副詞。形容詞を修飾するので副詞形。"
252,"Lu has ___ learned to drive a car.",recently,recent,recentness,recents,1,"副詞。現在完了とよく使われる副詞。"
253,"If she ___ time, she will help us.",has,have,had,having,1,"条件文。三人称単数なので「has」。"
254,"Heisuke decided ___ his room this weekend.",to clean,cleaning,clean,cleaned,1,"不定詞。「decide to + 動詞原形」。"
255,"This is ___ cake I've ever tasted.",the most delicious,more delicious,delicious,most delicious,1,"最上級。「the most + 形容詞」の形。"
256,"Shin has ___ finished his training.",finally,final,finalize,finals,1,"副詞。「finally」は「ついに」の意味。"
257,"The music is ___ loud for me.",too,very,so,quite,1,"「too + 形容詞」で「～すぎる」。"
258,"Aoi ___ been studying French since April.",has,have,had,was,1,"現在完了進行形。三人称単数なので「has」。"
259,"Sakamoto looks ___ in his new suit.",handsome,handsomely,handsomeness,handsome,1,"形容詞。「look」の後には形容詞。"
260,"If it ___ tomorrow, we'll stay home.",rains,rain,rained,raining,1,"条件文。三人称単数なので「rains」。"
261,"Lu has ___ her homework assignment.",completed,complete,completing,completes,1,"現在完了。動作の完了を表す。"
262,"This book is ___ interesting than that magazine.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
263,"Heisuke wants ___ his guitar skills.",to improve,improving,improve,improved,1,"不定詞。「want to + 動詞原形」。"
264,"The store has ___ closed for the day.",already,yet,never,still,1,"現在完了。「already」は完了を表す。"
265,"Shin is ___ athlete in our school.",the most talented,more talented,talented,most talented,1,"最上級。「the most + 形容詞」。"
266,"If you ___ me, I'll be grateful.",help,helped,helping,helps,1,"条件文。「if + 現在形」の部分。"
267,"Aoi has ___ moved to a new apartment.",recently,recent,recentness,recents,1,"副詞。現在完了でよく使われる。"
268,"This problem is ___ complex than expected.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
269,"Sakamoto hopes ___ his family next week.",to see,seeing,see,saw,1,"不定詞。「hope to + 動詞原形」。"
270,"I ___ visited that museum yet.",haven't,hasn't,didn't,don't,1,"現在完了の否定。「yet」とともに使用。"
271,"The performance was ___ amazing.",absolutely,absolute,absolutes,absolutely,1,"副詞。形容詞を修飾するので副詞形。"
272,"Lu has ___ started her new course.",just,yet,never,still,1,"現在完了。「just」は「ちょうど～した」。"
273,"If the weather ___ nice, we'll have a picnic.",is,was,will be,would be,1,"条件文。「if + 現在形」。"
274,"Heisuke decided ___ photography as a hobby.",to try,trying,try,tried,1,"不定詞。「decide to + 動詞原形」。"
275,"This is ___ building in the city.",the tallest,taller,tall,most tall,1,"最上級。「tall」の最上級は「the tallest」。"
276,"Shin has ___ been to that concert hall.",never,ever,already,yet,1,"現在完了の経験。否定の意味。"
277,"The soup is ___ hot to eat now.",too,very,so,quite,1,"「too + 形容詞 + to + 動詞原形」。"
278,"Aoi ___ been working on this project.",has,have,had,was,1,"現在完了進行形。三人称単数なので「has」。"
279,"Sakamoto feels ___ after his vacation.",refreshed,refresh,refreshing,refreshes,1,"形容詞。「feel」の後には形容詞。"
280,"If I ___ more money, I would travel.",had,have,has,having,1,"仮定法過去。「if + 過去形」。"
281,"Lu has ___ her driver's license.",obtained,obtain,obtaining,obtains,1,"現在完了。動作の完了。"
282,"This exam is ___ difficult than last year's.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
283,"Heisuke wants ___ his communication skills.",to enhance,enhancing,enhance,enhanced,1,"不定詞。「want to + 動詞原形」。"
284,"The meeting has ___ started without us.",already,yet,never,still,1,"現在完了。「already」は完了を表す。"
285,"Shin is ___ swimmer on the team.",the strongest,stronger,strong,most strong,1,"最上級。「strong」の最上級は「the strongest」。"
286,"If you ___ early, you'll catch the train.",leave,left,leaving,leaves,1,"条件文。「if + 現在形」。"
287,"Aoi has ___ finished her presentation.",successfully,success,succeed,successful,1,"副詞。動詞を修飾するので副詞形。"
288,"This restaurant is ___ expensive than others.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
289,"Sakamoto decided ___ a new skill.",to learn,learning,learn,learned,1,"不定詞。「decide to + 動詞原形」。"
290,"I ___ seen such beautiful flowers before.",have,has,had,was,1,"現在完了の経験。「I」には「have」。"
291,"The presentation was ___ impressive.",truly,true,truth,truly,1,"副詞。形容詞を修飾するので副詞形。"
292,"Lu has ___ completed her training program.",recently,recent,recentness,recents,1,"副詞。現在完了とよく使われる。"
293,"If she ___ ready, we can go.",is,was,will be,would be,1,"条件文。「if + 現在形」。"
294,"Heisuke hopes ___ his language skills.",to improve,improving,improve,improved,1,"不定詞。「hope to + 動詞原形」。"
295,"This is ___ place I've ever visited.",the most beautiful,more beautiful,beautiful,most beautiful,1,"最上級。「the most + 形容詞」。"
296,"Shin has ___ participated in such an event.",never,ever,already,yet,1,"現在完了の経験。否定の意味。"
297,"The coffee is ___ bitter for my taste.",too,very,so,quite,1,"「too + 形容詞」で「～すぎる」。"
298,"Aoi ___ been teaching here for two years.",has,have,had,was,1,"現在完了進行形。三人称単数なので「has」。"
299,"Sakamoto appears ___ about the news.",excited,excite,exciting,excitedly,1,"形容詞。「appear」の後には形容詞。"
300,"If it ___ colder, we'll need jackets.",gets,get,got,getting,1,"条件文。三人称単数なので「gets」。"
301,"Lu has ___ her bedroom completely.",reorganized,reorganize,reorganizing,reorganizes,1,"現在完了。動作の完了。"
302,"This task is ___ challenging than expected.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
303,"Heisuke wants ___ his artistic abilities.",to develop,developing,develop,developed,1,"不定詞。「want to + 動詞原形」。"
304,"The concert has ___ begun on time.",already,yet,never,still,1,"現在完了。「already」は完了を表す。"
305,"Shin is ___ student in mathematics.",the most dedicated,more dedicated,dedicated,most dedicated,1,"最上級。「the most + 形容詞」。"
306,"If you ___ the instructions, you'll succeed.",follow,followed,following,follows,1,"条件文。「if + 現在形」。"
307,"Aoi has ___ adapted to her new environment.",quickly,quick,quickness,quicks,1,"副詞。動詞を修飾するので副詞形。"
308,"This movie is ___ entertaining than the book.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
